deviceGroupName,site_name,lat,lon
M11640,COMPLEJO EDUCATIVO CAPITAN GENERAL GERARDO BARRIOS,13.699431,-89.212294
M11641,CENTRO ESCOLAR   CONSTITUCION  1950,13.707817,-89.180848
M11645,CENTRO ESCOLAR MIGUEL PINTO,13.722699,-89.211591
M11648,CENTRO ESCOLAR  REPUBLICA DE HONDURAS,13.68905,-89.209165
M11650,CENTRO ESCOLAR  MONSEÑOR BASILIO PLANTIER,13.694297,-89.182082
M11651,CENTRO ESCOLAR JORGE LARDE,13.687328,-89.189959
M11661,COMPLEJO EDUCATIVO REPÚBLICA DEL BRASIL,13.686332,-89.195397
M11665,CENTRO ESCOLAR JOSE SIMEON CAÑAS,13.681081,-89.191367
M11667,COMPLEJO EDUCATIVO JOAQUIN RODEZNO,13.701335,-89.195274
M11668,CENTRO ESCOLAR JOSE MATIAS DELGADO,13.692774,-89.193215
M11669,CENTRO ESCOLAR GENERAL RAMON BELLOSO,13.683019,-89.214622
M11674,COMPLEJO EDUCATIVO DR. HUMBERTO ROMERO ALVERGUE,13.685837,-89.193333
M11675,CENTRO ESCOLAR LIGA PANAMERICANA,13.681828,-89.183645
M11677,COMPLEJO EDUCATIVO REPÚBLICA DEL ECUADOR,13.689142,-89.201627
M11679,COMPLEJO EDUCATIVO  REPÚBLICA DE COSTA RICA,13.695629,-89.188563
M11680,CENTRO ESCOLAR REPUBLICA DE CHILE,13.702168,-89.182356
M13663,COMPLEJO EDUCATIVO REPÚBLICA DOMINICANA,13.716795,-89.190562
M60321,"CENTRO ESCOLAR CASERÍO EL GUAYABO, CANTÓN SAN ISIDRO LOS PLANES",13.728793,-89.269276
M70070,COMPLEJO EDUCATIVO CANTÓN JOYA GRANDE,13.666521,-89.091466
M11690,COMPLEJO EDUCATIVO CANTÓN LAS CASITAS,13.637487,-89.156958
M11695,CENTRO ESCOLAR GENERAL MANUEL BELGRANO,13.642588,-89.133748
M70080,CENTRO ESCOLAR  CANTÓN EL GUAJE,13.637455,-89.147087
M10057,CENTRO ESCOLAR CIUDAD CREDISA,13.734259,-89.131184
M10096,CENTRO ESCOLAR SAN ANTONIO,13.740462,-89.138871
M11580,CENTRO ESCOLAR AMATEPEC,13.696247,-89.169245
M11705,CENTRO ESCOLAR  ALTOS DE MONTE CARMELO,13.689363,-89.154811
M11708,INSTITUTO NACIONAL SAN LUIS,13.714151,-89.131377
M11711,CENTRO ESCOLAR  BOSQUES DEL RIO,13.720576,-89.120894
M11712,COMPLEJO EDUCATIVO COLONIA VILLA ALEGRE,13.735578,-89.139782
M11715,CENTRO ESCOLAR REPARTO LOS SANTOS,13.712501,-89.135524
M11716,CENTRO ESCOLAR  RAFAELA SOTOMAYOR DE ALARCIA,13.709548,-89.144641
M11723,COMPLEJO EDUCATIVO REPÚBLICA DE COREA,13.712283,-89.148464
M11724,CENTRO ESCOLAR  COLONIA GUAYACAN,13.713742,-89.124601
M11731,CENTRO ESCOLAR COLONIA SAN RAFAEL,13.682353,-89.140356
M11732,CENTRO ESCOLAR  ANTONIO JOSE CAÑAS,13.704505,-89.154855
M11735,CENTRO ESCOLAR  BARRIO EL PROGRESO,13.706958,-89.155239
M11736,CENTRO ESCOLAR PROFESOR DANIEL CORDÓN SALGUERO,13.704996,-89.145206
M13668,CENTRO ESCOLAR AGUSTIN LINARES,13.715527,-89.130282
M13713,CENTRO ESCOLAR URBANIZACION LAS MARGARITAS,13.723311,-89.143354
M11740,CENTRO ESCOLAR  PROFESORA MARIA INOCENCIA DE PAREDES,13.816149,-89.1436
M11745,CENTRO ESCOLAR  CANTÓN VERACRUZ,13.736081,-89.093867
M11751,COMPLEJO EDUCATIVO  FE Y ALEGRIA,13.818892,-89.139358
M11752,CENTRO ESCOLAR PRESBÍTERO NICOLÁS AGUILAR,13.779604,-89.119678
M14806,CENTRO ESCOLAR ALTAVISTA,13.720307,-89.098011
M14840,CENTRO ESCOLAR LA CIMA DOS,13.725466,-89.106874
M60247,CENTRO ESCOLAR URBANIZACIÓN CUMBRES DE SAN BARTOLO,13.730671,-89.111479
M60250,"CENTRO ESCOLAR CASERÍO RESIDENCIAL ALTAVISTA, CANTÓN VERACRUZ",13.734653,-89.088485
M86237,CENTRO ESCOLAR CANTÓN LA UNIÓN,13.741244,-89.102124
M11759,CENTRO ESCOLAR  COMUNIDAD PRADERA III,13.793202,-89.162214
M11763,COMPLEJO EDUCATIVO  DOCTOR ORLANDO DE SOLA,13.724849,-89.151264
M11764,CENTRO ESCOLAR  CANTON CALLE REAL,13.758179,-89.166753
M11765,CENTRO ESCOLAR  CANTON ARENAL,13.759382,-89.178614
M11767,CENTRO ESCOLAR  CANTON SAN JOSE CORTEZ,13.754729,-89.145528
M11769,CENTRO ESCOLAR  CASERIO SAN ANTONIO LAS VEGAS,13.770507,-89.166783
M11770,CENTRO ESCOLAR  EDELMIRA MOLINA,13.718074,-89.169893
M11771,CENTRO ESCOLAR  REINO DE HOLANDA,13.712889,-89.173026
M11777,CENTRO ESCOLAR CANTÓN MILINGO,13.744367,-89.168781
M11922,COMPLEJO EDUCATIVO  CANTÓN EL PEDREGAL,13.443175,-89.016759
M11932,COMPLEJO EDUCATIVO MERCEDES LA CEIBA,13.647466,-88.912794
M10084,CENTRO ESCOLAR URBANIZACION MONTELIMAR,13.598005,-89.123145
M11933,COMPLEJO EDUCATIVO CASERÍO VALLE NUEVO,13.477823,-89.156951
M11934,CENTRO ESCOLAR CANTON EL CHILAMATE,13.559527,-89.122995
M11935,INSTITUTO NACIONAL DE OLOCUILTA,13.576319,-89.11629
M11937,CENTRO ESCOLAR PROFESORA MARIA EVANGELINA ALVAREZ,13.613288,-89.122247
M11941,CENTRO ESCOLAR PROFESORA ROSA MIRIAN ABREGO DE HERNANDEZ,13.50565,-89.140985
M11943,COMPLEJO EDUCATIVO ALBERTO MASFERRER,13.572435,-89.116454
M11944,CENTRO ESCOLAR CANTON SAN SEBASTIAN,13.540353,-89.129142
M11946,CENTRO ESCOLAR MARIA ESTER ALFARO,13.571358,-89.038357
M11952,CENTRO ESCOLAR CANTON CONCEPCION LOURDES,13.637325,-88.988368
M11954,INSTITUTO NACIONAL DE SAN EMIGDIO,13.649283,-88.976656
M11955,CENTRO ESCOLAR AMALIA ROSALES CAMPOS,13.575272,-89.096944
M11959,COMPLEJO EDUCATIVO CLAUDIA LARS,13.608822,-89.095446
M11962,CENTRO ESCOLAR  CANTÓN EL GOLFO,13.439704,-88.91586
M11963,CENTRO ESCOLAR CANTON LA LONGANIZA,13.4604,-88.930086
M11964,CENTRO ESCOLAR  CANTON LA LAGUNETA,13.593117,-88.874572
M11975,CENTRO ESCOLAR PROFESORA JUANA SARA LOPEZ DE MIRANDA,13.504561,-89.088374
M11976,CENTRO ESCOLAR DOCTOR GILBERTO LISANDRO VASQUEZ SOSA,13.501967,-89.074291
M11988,INSTITUTO NACIONAL  DE SAN LUIS TALPA,13.476213,-89.087755
M11991,CENTRO ESCOLAR CASERÍO EL SALAMAR,13.470884,-89.056729
M11992,CENTRO ESCOLAR CANTON NUEVO EDEN,13.474328,-89.077931
M11994,CENTRO ESCOLAR CASERIO LA ZUNGANERA,13.399991,-89.120625
M12000,CENTRO ESCOLAR CANTON SAN BARTOLO,13.628033,-88.991292
M12001,CENTRO ESCOLAR LA PAZ,13.618606,-89.022754
M12012,COMPLEJO EDUCATIVO  CANTON LAS ISLETAS,13.407543,-89.010495
M12015,CENTRO ESCOLAR MARIA TERESA DUKE,13.489343,-89.047074
M12017,CENTRO ESCOLAR NEMESIA LUNA,13.547575,-89.036174
M12032,CENTRO ESCOLAR PROFESOR JOSE RICARDO CATIVO,13.513503,-88.914753
M12037,CENTRO ESCOLAR CANTON SAN JOSE CARRIZAL,13.627982,-88.940129
M12049,INSTITUTO NACIONAL JOSE INGENIEROS,13.50768,-88.938282
M12051,CENTRO ESCOLAR CENTRO AMERICA,13.53015,-88.970256
M12053,CENTRO ESCOLAR ANASTACIO AQUINO,13.534682,-88.922209
M12059,CENTRO ESCOLAR CASERIO LA FLECHA,13.492093,-88.99915
M12061,CENTRO ESCOLAR 14 DE ABRIL,13.513907,-88.969181
M12124,CENTRO ESCOLAR CATARINO DE JESÚS ORTÍZ,13.510879,-88.87052
M11306,CENTRO ESCOLAR ROQUE DALTON,13.955597,-89.19077
